State,Postal,Count,FY
Alabama,AL,3,2020
Alaska,AK,8,2020
Arizona,AZ,8,2020
Arkansas,AR,0,2020
California,CA,21,2020
Canal Zone,CZ,0,2020
Colorado,CO,4,2020
Connecticut,CT,18,2020
Delaware,DE,0,2020
District of Columbia,DC,66,2020
Florida,FL,11,2020
Georgia,GA,24,2020
Guam,GU,5,2020
Hawaii,HI,0,2020
Idaho,ID,0,2020
Illinois,IL,12,2020
Indiana,IN,5,2020
Iowa,IA,10,2020
Kansas,KS,0,2020
Kentucky,KY,4,2020
Louisiana,LA,1057,2020
Maine,ME,2,2020
Maryland,MD,5,2020
Massachusetts,MA,11,2020
Michigan,MI,5,2020
Minnesota,MN,7,2020
Mississippi,MS,0,2020
Missouri,MO,1,2020
Montana,MT,5,2020
Nebraska,NE,2,2020
Nevada,NV,4,2020
New Hampshire,NH,6,2020
New Jersey,NJ,10,2020
New Mexico,NM,1,2020
New York,NY,868,2020
North Carolina,NC,6,2020
North Dakota,ND,0,2020
Ohio,OH,29,2020
Oklahoma,OK,0,2020
Oregon,OR,8,2020
Pennsylvania,PA,4,2020
Puerto Rico,PR,2,2020
Rhode Island,RI,7,2020
South Carolina,SC,20,2020
South Dakota,SD,0,2020
Tennessee,TN,21,2020
Texas,TX,6,2020
Utah,UT,0,2020
Vermont,VT,6,2020
Virgin Islands,VI,0,2020
Virginia,VA,1,2020
Washington,WA,22,2020
West Virginia,WV,0,2020
Wisconsin,WI,3,2020
Wyoming,WY,1,2020
Alabama,AL,2,2021
Alaska,AK,8,2021
Arizona,AZ,0,2021
Arkansas,AR,2,2021
California,CA,53,2021
Canal Zone,CZ,0,2021
Colorado,CO,17,2021
Connecticut,CT,19,2021
Delaware,DE,0,2021
District of Columbia,DC,235,2021
Florida,FL,12,2021
Georgia,GA,11,2021
Guam,GU,0,2021
Hawaii,HI,0,2021
Idaho,ID,4,2021
Illinois,IL,10,2021
Indiana,IN,159,2021
Iowa,IA,7,2021
Kansas,KS,0,2021
Kentucky,KY,16,2021
Louisiana,LA,803,2021
Maine,ME,0,2021
Maryland,MD,24,2021
Massachusetts,MA,88,2021
Michigan,MI,2,2021
Minnesota,MN,1,2021
Mississippi,MS,41,2021
Missouri,MO,0,2021
Montana,MT,26,2021
Nebraska,NE,26,2021
Nevada,NV,3,2021
New Hampshire,NH,8,2021
New Jersey,NJ,221,2021
New Mexico,NM,0,2021
New York,NY,655,2021
North Carolina,NC,15,2021
North Dakota,ND,1,2021
Ohio,OH,459,2021
Oklahoma,OK,5,2021
Oregon,OR,6,2021
Pennsylvania,PA,64,2021
Puerto Rico,PR,0,2021
Rhode Island,RI,2,2021
South Carolina,SC,6,2021
South Dakota,SD,0,2021
Tennessee,TN,10,2021
Texas,TX,36,2021
Utah,UT,0,2021
Vermont,VT,6,2021
Virgin Islands,VI,0,2021
Virginia,VA,15,2021
Washington,WA,39,2021
West Virginia,WV,0,2021
Wisconsin,WI,10,2021
Wyoming,WY,0,2021
Alabama,AL,13,2022
Alaska,AK,2,2022
Arizona,AZ,16,2022
Arkansas,AR,1037,2022
California,CA,283,2022
Canal Zone,CZ,0,2022
Colorado,CO,53,2022
Connecticut,CT,69,2022
Delaware,DE,0,2022
District of Columbia,DC,103,2022
Florida,FL,17,2022
Georgia,GA,106,2022
Guam,GU,0,2022
Hawaii,HI,18,2022
Idaho,ID,7,2022
Illinois,IL,70,2022
Indiana,IN,456,2022
Iowa,IA,50,2022
Kansas,KS,27,2022
Kentucky,KY,42,2022
Louisiana,LA,797,2022
Maine,ME,3,2022
Maryland,MD,15,2022
Massachusetts,MA,164,2022
Michigan,MI,25,2022
Minnesota,MN,15,2022
Mississippi,MS,115,2022
Missouri,MO,5,2022
Montana,MT,35,2022
Nebraska,NE,22,2022
Nevada,NV,1,2022
New Hampshire,NH,28,2022
New Jersey,NJ,139,2022
New Mexico,NM,3,2022
New York,NY,1215,2022
North Carolina,NC,31,2022
North Dakota,ND,1,2022
Ohio,OH,949,2022
Oklahoma,OK,7,2022
Oregon,OR,1,2022
Pennsylvania,PA,0,2022
Puerto Rico,PR,1,2022
Rhode Island,RI,5,2022
South Carolina,SC,9,2022
South Dakota,SD,13,2022
Tennessee,TN,59,2022
Texas,TX,197,2022
Utah,UT,21,2022
Vermont,VT,15,2022
Virgin Islands,VI,1,2022
Virginia,VA,16,2022
Washington,WA,845,2022
West Virginia,WV,2,2022
Wisconsin,WI,125,2022
Wyoming,WY,9,2022